insertion_sort,25,0.000021
insertion_sort,50,0.000034
insertion_sort,75,0.000068
insertion_sort,100,0.000145
insertion_sort,250,0.000803
insertion_sort,500,0.003413
insertion_sort,750,0.008278
insertion_sort,1000,0.015283
insertion_sort,2500,0.095590
insertion_sort,5000,0.387112
insertion_sort,7500,0.874992
insertion_sort,10000,1.579290
insertion_sort,25000,9.669629
insertion_sort,75000,87.515147
insertion_sort,50000,38.444961
insertion_sort,100000,165.594429
insertion_sort,250000,1001.29138
insertion_sort,500000,3987.10024
bubble_sort,25,0.000035
bubble_sort,50,0.000078
bubble_sort,75,0.000178
bubble_sort,100,0.000290
bubble_sort,250,0.001843
bubble_sort,500,0.007385
bubble_sort,750,0.017184
bubble_sort,1000,0.032144
bubble_sort,2500,0.212631
bubble_sort,5000,0.859359
bubble_sort,7500,1.928125
bubble_sort,10000,3.422584
bubble_sort,25000,21.553634
bubble_sort,50000,86.553312
bubble_sort,75000,1117.595418
bubble_sort,100000,6054.928822
quick_sort,25,0.000027
quick_sort,50,0.000028
quick_sort,75,0.000039
quick_sort,100,0.000057
quick_sort,250,0.000163
quick_sort,500,0.000380
quick_sort,750,0.000609
quick_sort,1000,0.000827
quick_sort,2500,0.002324
quick_sort,5000,0.005298
quick_sort,7500,0.008870
quick_sort,10000,0.011443
quick_sort,25000,0.031588
quick_sort,50000,0.066025
quick_sort,75000,0.103886
quick_sort,100000,0.146119
quick_sort,250000,0.389240
quick_sort,500000,0.851845
quick_sort,750000,1.264201
quick_sort,1000000,1.776946
heap_sort,25,0.000024
heap_sort,50,0.000035
heap_sort,75,0.000057
heap_sort,100,0.000081
heap_sort,250,0.000250
heap_sort,500,0.000589
heap_sort,750,0.001046
heap_sort,1000,0.001392
heap_sort,2500,0.003857
heap_sort,5000,0.008893
heap_sort,7500,0.013709
heap_sort,10000,0.018895
heap_sort,25000,0.052798
heap_sort,50000,0.114930
heap_sort,75000,0.198634
heap_sort,100000,0.284878
heap_sort,250000,0.769678
heap_sort,500000,1.573916
heap_sort,750000,2.684031
heap_sort,1000000,3.738141
merge_sort,25,0.000026
merge_sort,50,0.000037
merge_sort,75,0.000060
merge_sort,100,0.000083
merge_sort,250,0.000233
merge_sort,500,0.000560
merge_sort,750,0.000946
merge_sort,1000,0.001249
merge_sort,2500,0.003468
merge_sort,5000,0.007614
merge_sort,7500,0.011678
merge_sort,10000,0.015960
merge_sort,25000,0.043241
merge_sort,50000,0.091424
merge_sort,75000,0.143157
merge_sort,100000,0.193081
merge_sort,250000,0.523767
merge_sort,500000,1.121287
merge_sort,750000,1.758798
merge_sort,1000000,2.426714
